sample,mtags,main_group,total_group,purity(%),main_specie,main_OTU_mtags,other_groups
GC1003832_D02,16,Basidiomycota,10,62.5,NA,10,"Ascomycota(3),Ascomycota(1),Ascomycota(1),Streptophyta(1)"
GC1003832_D03,3,Ascomycota,3,100,SLVJN546132,2,
GC1003832_D04,2,Ascomycota,2,100,NA,2,
GC1003832_D05,50,Ascomycota,27,54,SLVJN546132,18,"Chlorarachnea(12),Basidiomycota(8),Basidiomycota(2),Metazoa(1)"
GC1003832_D06,54,BasalFungi,25,46.3,BMK14991,18,"Ascomycota(17),Ascomycota(9),Ascomycota(1),Basidiomycota(1),Metazoa(1)"
GC1003832_D07,4,Metazoa,2,50,NA,2,"Basidiomycota(1),Chlorarachnea(1)"
GC1003832_D08,16,Ascomycota,15,93.8,SLVJN546132,8,Metazoa(1)
GC1003832_D09,4,Basidiomycota,3,75,NA,2,Ascomycota(1)
GC1003832_D10,34,Basidiomycota,31,91.2,SLVAY657012,12,"Metazoa(1),Metazoa(1),Ascomycota(1)"
GC1003832_D12,11,Basidiomycota,4,36.4,NA,2,"Metazoa(2),Metazoa(1),MAST-11(2),Ascomycota(1),Ascomycota(1)"
GC1003832_E01,31,Basidiomycota,10,32.3,NA,10,"Kinetoplastea(8),Kinetoplastea(4),Kinetoplastea(2),Ascomycota(3),Ascomycota(2),Ascomycota(1),Blastocystis(1)"
GC1003832_E02,31,Basidiomycota,23,74.2,SLVAF026586,23,"Ascomycota(4),Ascomycota(4)"
GC1003832_E04,2,Ascomycota,1,50,NA,1,Basidiomycota(1)
GC1003832_E05,3,Ascomycota,1,33.3,SLVAEGN01000925,1,"MAST-7(1),Basidiomycota(1)"
GC1003832_E06,4,Ascomycota,4,100,SLVU43458,3,
GC1003832_E07,55,Ascomycota,43,78.2,SLVJN546132,25,"Basidiomycota(11),Basidiomycota(1)"
GC1003832_E08,84,Basidiomycota,53,63.1,NA,40,"Ascomycota(11),Ascomycota(7),Ascomycota(5),Ascomycota(1),MAST-7(7)"
GC1003832_E09,4,Ascomycota,2,50,NA,2,"Metazoa(1),MAST-7(1)"
